=========================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (HIGH DIFFICULTY) 
=========================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-08
Grid Info:
  dt = 0.010000, dx = 0.005000
---------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)
---------------------------------------------------------------------------------------------------------
1     | 9.6826e-02   | 9.6826e+07   | 2.2688e-01   | 7.4616e-04   | 383        | 0.1004
2     | 8.7427e-02   | 6.3847e-03   | 2.3815e-01   | 8.3830e-04   | 382        | 0.0969
3     | 8.0981e-02   | 3.1083e-03   | 2.2292e-01   | 8.4432e-04   | 388        | 0.0970
4     | 7.6902e-02   | 2.0521e-03   | 2.0504e-01   | 8.3313e-04   | 395        | 0.0987
5     | 7.2853e-02   | 1.5099e-03   | 2.0089e-01   | 8.7280e-04   | 406        | 0.1016
6     | 6.7124e-02   | 1.1498e-03   | 2.0266e-01   | 9.3750e-04   | 412        | 0.1020
7     | 6.0997e-02   | 9.0109e-04   | 1.9827e-01   | 9.6741e-04   | 409        | 0.1013
8     | 5.6314e-02   | 7.3989e-04   | 1.9323e-01   | 9.8135e-04   | 407        | 0.1007
9     | 5.4989e-02   | 6.5694e-04   | 1.9023e-01   | 9.9242e-04   | 413        | 0.1025
10    | 5.8739e-02   | 6.4828e-04   | 1.7311e-01   | 9.1701e-04   | 445        | 0.1087
11    | 6.0453e-02   | 6.2347e-04   | 1.3905e-01   | 7.4149e-04   | 451        | 0.1097
12    | 5.9622e-02   | 5.7962e-04   | 1.0524e-01   | 5.6282e-04   | 449        | 0.1101
13    | 5.9707e-02   | 5.5031e-04   | 9.8876e-02   | 5.3194e-04   | 445        | 0.1091
14    | 6.0693e-02   | 5.3135e-04   | 1.1697e-01   | 6.3729e-04   | 448        | 0.1092
15    | 5.9926e-02   | 4.9762e-04   | 1.2258e-01   | 6.7789e-04   | 455        | 0.1108
16    | 5.5606e-02   | 4.3776e-04   | 1.2024e-01   | 6.7252e-04   | 454        | 0.1108
17    | 5.1030e-02   | 3.8211e-04   | 1.2108e-01   | 6.8184e-04   | 448        | 0.1092
18    | 4.6846e-02   | 3.3518e-04   | 1.2279e-01   | 6.9370e-04   | 442        | 0.1082
19    | 4.2149e-02   | 2.8952e-04   | 1.2059e-01   | 6.8118e-04   | 434        | 0.1065
20    | 3.7119e-02   | 2.4599e-04   | 1.1307e-01   | 6.3693e-04   | 425        | 0.1045
21    | 3.2536e-02   | 2.0907e-04   | 1.0238e-01   | 5.7428e-04   | 426        | 0.1052
22    | 2.8846e-02   | 1.8054e-04   | 9.1305e-02   | 5.1019e-04   | 430        | 0.1066
23    | 2.6068e-02   | 1.5950e-04   | 8.1508e-02   | 4.5457e-04   | 436        | 0.1067
24    | 2.4062e-02   | 1.4435e-04   | 7.4620e-02   | 4.1665e-04   | 436        | 0.1067
25    | 2.2555e-02   | 1.3293e-04   | 7.4209e-02   | 4.1637e-04   | 438        | 0.1082
26    | 2.1035e-02   | 1.2197e-04   | 7.9413e-02   | 4.4895e-04   | 437        | 0.1070
27    | 1.9623e-02   | 1.1208e-04   | 8.2783e-02   | 4.7163e-04   | 428        | 0.1053
28    | 2.0174e-02   | 1.1360e-04   | 7.8392e-02   | 4.4915e-04   | 423        | 0.1041
29    | 2.3707e-02   | 1.3166e-04   | 6.8731e-02   | 3.9526e-04   | 420        | 0.1039
30    | 2.8239e-02   | 1.5459e-04   | 5.7025e-02   | 3.2892e-04   | 424        | 0.1047
31    | 2.9641e-02   | 1.5985e-04   | 5.2223e-02   | 3.0202e-04   | 424        | 0.1042
32    | 2.8435e-02   | 1.5103e-04   | 5.9297e-02   | 3.4389e-04   | 424        | 0.1051
33    | 2.6065e-02   | 1.3636e-04   | 6.6325e-02   | 3.8571e-04   | 417        | 0.1024
34    | 2.2940e-02   | 1.1821e-04   | 6.1056e-02   | 3.5557e-04   | 420        | 0.1028
35    | 2.0115e-02   | 1.0218e-04   | 5.1435e-02   | 2.9951e-04   | 431        | 0.1060
36    | 1.8149e-02   | 9.1028e-05   | 4.4035e-02   | 2.5630e-04   | 433        | 0.1067
37    | 1.6890e-02   | 8.3759e-05   | 4.0646e-02   | 2.3658e-04   | 424        | 0.1042
38    | 1.6200e-02   | 7.9519e-05   | 4.0358e-02   | 2.3507e-04   | 419        | 0.1035
39    | 1.5867e-02   | 7.7124e-05   | 4.0438e-02   | 2.3580e-04   | 419        | 0.1034
40    | 1.5134e-02   | 7.2858e-05   | 3.8603e-02   | 2.2541e-04   | 419        | 0.1030
41    | 1.3851e-02   | 6.6070e-05   | 3.4100e-02   | 1.9937e-04   | 413        | 0.1012
42    | 1.2403e-02   | 5.8669e-05   | 2.6052e-02   | 1.5251e-04   | 405        | 0.1003
43    | 1.1361e-02   | 5.3356e-05   | 1.8830e-02   | 1.1035e-04   | 400        | 0.0994
44    | 1.0790e-02   | 5.0366e-05   | 2.2436e-02   | 1.3160e-04   | 400        | 0.0991
45    | 1.0430e-02   | 4.8409e-05   | 2.7145e-02   | 1.5935e-04   | 405        | 0.1005
46    | 1.0218e-02   | 4.7142e-05   | 2.3592e-02   | 1.3863e-04   | 410        | 0.1017
47    | 9.6631e-03   | 4.4319e-05   | 2.0460e-02   | 1.2037e-04   | 410        | 0.1015
48    | 8.8269e-03   | 4.0259e-05   | 2.0503e-02   | 1.2080e-04   | 410        | 0.1010
49    | 7.8652e-03   | 3.5692e-05   | 1.9783e-02   | 1.1672e-04   | 408        | 0.1017
50    | 6.8740e-03   | 3.1053e-05   | 1.6951e-02   | 1.0012e-04   | 407        | 0.1006
51    | 6.0044e-03   | 2.7019e-05   | 1.3208e-02   | 7.8060e-05   | 407        | 0.1006
52    | 5.3108e-03   | 2.3820e-05   | 1.1193e-02   | 6.6165e-05   | 406        | 0.1010
53    | 4.7881e-03   | 2.1416e-05   | 1.1919e-02   | 7.0452e-05   | 406        | 0.1011
54    | 4.5367e-03   | 2.0239e-05   | 1.2613e-02   | 7.4536e-05   | 406        | 0.1026
55    | 4.5031e-03   | 2.0038e-05   | 1.1176e-02   | 6.6022e-05   | 409        | 0.1011
56    | 4.4640e-03   | 1.9813e-05   | 8.4848e-03   | 5.0107e-05   | 410        | 0.1012
57    | 4.3473e-03   | 1.9247e-05   | 7.3217e-03   | 4.3231e-05   | 409        | 0.1011
58    | 4.1864e-03   | 1.8490e-05   | 8.0250e-03   | 4.7388e-05   | 409        | 0.1009
59    | 4.0074e-03   | 1.7659e-05   | 8.1660e-03   | 4.8234e-05   | 407        | 0.1021
60    | 3.7914e-03   | 1.6671e-05   | 6.9925e-03   | 4.1316e-05   | 402        | 0.0998
61    | 3.4723e-03   | 1.5239e-05   | 5.5425e-03   | 3.2758e-05   | 401        | 0.0993
62    | 3.0108e-03   | 1.3191e-05   | 4.9672e-03   | 2.9365e-05   | 399        | 0.0985
63    | 2.4772e-03   | 1.0837e-05   | 4.9033e-03   | 2.8991e-05   | 400        | 0.0999
64    | 2.0217e-03   | 8.8331e-06   | 4.5290e-03   | 2.6780e-05   | 401        | 0.1034
65    | 1.7343e-03   | 7.5691e-06   | 3.8662e-03   | 2.2862e-05   | 401        | 0.0993
66    | 1.5626e-03   | 6.8130e-06   | 3.3900e-03   | 2.0047e-05   | 400        | 0.0995
67    | 1.4220e-03   | 6.1951e-06   | 3.2600e-03   | 1.9277e-05   | 400        | 0.0991
68    | 1.3014e-03   | 5.6648e-06   | 3.1488e-03   | 1.8619e-05   | 399        | 0.0989
69    | 1.2231e-03   | 5.3204e-06   | 2.8172e-03   | 1.6658e-05   | 397        | 0.0986
70    | 1.1727e-03   | 5.0979e-06   | 2.3695e-03   | 1.4010e-05   | 398        | 0.0987
71    | 1.1073e-03   | 4.8107e-06   | 2.0724e-03   | 1.2253e-05   | 398        | 0.0988
72    | 1.0091e-03   | 4.3816e-06   | 1.9921e-03   | 1.1778e-05   | 398        | 0.0985
73    | 8.9867e-04   | 3.8998e-06   | 1.9359e-03   | 1.1446e-05   | 397        | 0.0983
74    | 8.0368e-04   | 3.4859e-06   | 1.7952e-03   | 1.0614e-05   | 397        | 0.0981
75    | 7.2696e-04   | 3.1518e-06   | 1.6359e-03   | 9.6719e-06   | 397        | 0.0984
76    | 6.5154e-04   | 2.8237e-06   | 1.5383e-03   | 9.0955e-06   | 397        | 0.0981
77    | 5.6865e-04   | 2.4635e-06   | 1.4732e-03   | 8.7110e-06   | 397        | 0.0987
78    | 4.8932e-04   | 2.1192e-06   | 1.3660e-03   | 8.0778e-06   | 397        | 0.0984
79    | 4.3194e-04   | 1.8702e-06   | 1.2029e-03   | 7.1135e-06   | 397        | 0.0983
80    | 4.0033e-04   | 1.7329e-06   | 1.0374e-03   | 6.1351e-06   | 398        | 0.0988
81    | 3.7897e-04   | 1.6401e-06   | 9.2746e-04   | 5.4852e-06   | 398        | 0.0992
82    | 3.5154e-04   | 1.5212e-06   | 8.7279e-04   | 5.1620e-06   | 398        | 0.0986
