x u_star u_num
1.740000e+00 6.056061e+00 6.062325e+00
1.760000e+00 6.143561e+00 6.149315e+00
1.780000e+00 6.232061e+00 6.237281e+00
1.800000e+00 6.321561e+00 6.326228e+00
1.820000e+00 6.412061e+00 6.416161e+00
1.840000e+00 6.503561e+00 6.507085e+00
1.860000e+00 6.596061e+00 6.599007e+00
1.880000e+00 6.689561e+00 6.691937e+00
1.900000e+00 6.784061e+00 6.785885e+00
1.920000e+00 6.879561e+00 6.880866e+00
1.940000e+00 6.976061e+00 6.976897e+00
1.960000e+00 7.073561e+00 7.074001e+00
1.980000e+00 7.172061e+00 7.172209e+00
2.000000e+00 7.271561e+00 7.271561e+00
