x u_star u_num
5.600000e-01 2.663561e+00 2.660106e+00
5.800000e-01 2.692061e+00 2.688878e+00
6.000000e-01 2.721561e+00 2.718668e+00
6.200000e-01 2.752061e+00 2.749475e+00
6.400000e-01 2.783561e+00 2.781298e+00
6.600000e-01 2.816061e+00 2.814136e+00
6.800000e-01 2.849561e+00 2.847990e+00
7.000000e-01 2.884061e+00 2.882857e+00
7.200000e-01 2.919561e+00 2.918737e+00
7.400000e-01 2.956061e+00 2.955628e+00
7.600000e-01 2.993561e+00 2.993531e+00
7.800000e-01 3.032061e+00 3.032442e+00
8.000000e-01 3.071561e+00 3.072362e+00
8.200000e-01 3.112061e+00 3.113289e+00
8.400000e-01 3.153561e+00 3.155222e+00
8.600000e-01 3.196061e+00 3.198159e+00
8.800000e-01 3.239561e+00 3.242099e+00
9.000000e-01 3.284061e+00 3.287041e+00
9.200000e-01 3.329561e+00 3.332982e+00
9.400000e-01 3.376061e+00 3.379923e+00
9.600000e-01 3.423561e+00 3.427861e+00
9.800000e-01 3.472061e+00 3.476795e+00
1.000000e+00 3.521561e+00 3.526724e+00
1.020000e+00 3.572061e+00 3.577645e+00
1.040000e+00 3.623561e+00 3.629559e+00
1.060000e+00 3.676061e+00 3.682463e+00
1.080000e+00 3.729561e+00 3.736356e+00
1.100000e+00 3.784061e+00 3.791236e+00
1.120000e+00 3.839561e+00 3.847103e+00
1.140000e+00 3.896061e+00 3.903955e+00
1.160000e+00 3.953561e+00 3.961791e+00
1.180000e+00 4.012061e+00 4.020609e+00
1.200000e+00 4.071561e+00 4.080408e+00
1.220000e+00 4.132061e+00 4.141188e+00
1.240000e+00 4.193561e+00 4.202946e+00
1.260000e+00 4.256061e+00 4.265682e+00
1.280000e+00 4.319561e+00 4.329395e+00
1.300000e+00 4.384061e+00 4.394083e+00
1.320000e+00 4.449561e+00 4.459745e+00
1.340000e+00 4.516061e+00 4.526381e+00
1.360000e+00 4.583561e+00 4.593989e+00
1.380000e+00 4.652061e+00 4.662569e+00
1.400000e+00 4.721561e+00 4.732120e+00
1.420000e+00 4.792061e+00 4.802640e+00
1.440000e+00 4.863561e+00 4.874130e+00
1.460000e+00 4.936061e+00 4.946588e+00
1.480000e+00 5.009561e+00 5.020013e+00
1.500000e+00 5.084061e+00 5.094406e+00
1.520000e+00 5.159561e+00 5.169765e+00
1.540000e+00 5.236061e+00 5.246091e+00
1.560000e+00 5.313561e+00 5.323382e+00
1.580000e+00 5.392061e+00 5.401639e+00
1.600000e+00 5.471561e+00 5.480862e+00
1.620000e+00 5.552061e+00 5.561051e+00
1.640000e+00 5.633561e+00 5.642206e+00
1.660000e+00 5.716061e+00 5.724328e+00
1.680000e+00 5.799561e+00 5.807417e+00
1.700000e+00 5.884061e+00 5.891474e+00
1.720000e+00 5.969561e+00 5.976502e+00
1.740000e+00 6.056061e+00 6.062502e+00
1.760000e+00 6.143561e+00 6.149475e+00
1.780000e+00 6.232061e+00 6.237426e+00
