x m_star m_num
5.600000e-01 4.072942e-01 4.039409e-01
5.800000e-01 3.847277e-01 3.815863e-01
6.000000e-01 3.626854e-01 3.597769e-01
6.200000e-01 3.412228e-01 3.385646e-01
6.400000e-01 3.203889e-01 3.179946e-01
6.600000e-01 3.002261e-01 2.981055e-01
6.800000e-01 2.807700e-01 2.789296e-01
7.000000e-01 2.620501e-01 2.604929e-01
7.200000e-01 2.440897e-01 2.428153e-01
7.400000e-01 2.269060e-01 2.259111e-01
7.600000e-01 2.105105e-01 2.097890e-01
7.800000e-01 1.949096e-01 1.944527e-01
8.000000e-01 1.801042e-01 1.799011e-01
8.200000e-01 1.660910e-01 1.661287e-01
8.400000e-01 1.528620e-01 1.531260e-01
8.600000e-01 1.404056e-01 1.408800e-01
8.800000e-01 1.287066e-01 1.293742e-01
9.000000e-01 1.177467e-01 1.185897e-01
9.200000e-01 1.075048e-01 1.085049e-01
9.400000e-01 9.795770e-02 9.909627e-02
9.600000e-01 8.908008e-02 9.033853e-02
9.800000e-01 8.084516e-02 8.220512e-02
1.000000e+00 7.322491e-02 7.466845e-02
1.020000e+00 6.619042e-02 6.770020e-02
1.040000e+00 5.971216e-02 6.127163e-02
1.060000e+00 5.376032e-02 5.535383e-02
1.080000e+00 4.830503e-02 4.991794e-02
1.100000e+00 4.331659e-02 4.493536e-02
1.120000e+00 3.876569e-02 4.037794e-02
1.140000e+00 3.462361e-02 3.621814e-02
1.160000e+00 3.086231e-02 3.242915e-02
1.180000e+00 2.745465e-02 2.898505e-02
1.200000e+00 2.437446e-02 2.586084e-02
1.220000e+00 2.159660e-02 2.303256e-02
1.240000e+00 1.909708e-02 2.047735e-02
1.260000e+00 1.685312e-02 1.817347e-02
1.280000e+00 1.484311e-02 1.610032e-02
1.300000e+00 1.304671e-02 1.423848e-02
1.320000e+00 1.144480e-02 1.256970e-02
1.340000e+00 1.001953e-02 1.107688e-02
1.360000e+00 8.754219e-03 9.744045e-03
1.380000e+00 7.633418e-03 8.556355e-03
1.400000e+00 6.642814e-03 7.500031e-03
1.420000e+00 5.769213e-03 6.562336e-03
