======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (NEWTON TYPE 2: NEWTON-PICARD)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
54    | 4.4206e-03   | 1.9979e-05   | 7.7356e-03   | 5.3500e-05   | 419        | 0.1824
55    | 4.4283e-03   | 1.9961e-05   | 7.2367e-03   | 5.0046e-05   | 418        | 0.1894
56    | 4.3958e-03   | 1.9764e-05   | 5.6150e-03   | 3.8833e-05   | 418        | 0.1856
57    | 4.2877e-03   | 1.9231e-05   | 5.1385e-03   | 3.5541e-05   | 418        | 0.2379
58    | 4.1394e-03   | 1.8522e-05   | 6.1593e-03   | 4.2608e-05   | 418        | 0.1725
59    | 3.9625e-03   | 1.7693e-05   | 6.4141e-03   | 4.4376e-05   | 417        | 0.2043
60    | 3.7281e-03   | 1.6614e-05   | 5.2515e-03   | 3.6334e-05   | 416        | 0.1937
61    | 3.3908e-03   | 1.5085e-05   | 3.7462e-03   | 2.5919e-05   | 416        | 0.1659
62    | 2.9371e-03   | 1.3047e-05   | 3.0613e-03   | 2.1179e-05   | 416        | 0.1769
63    | 2.4306e-03   | 1.0783e-05   | 2.8528e-03   | 1.9736e-05   | 416        | 0.2149
64    | 1.9909e-03   | 8.8226e-06   | 2.7186e-03   | 1.8806e-05   | 417        | 0.1798
65    | 1.6965e-03   | 7.5104e-06   | 2.3515e-03   | 1.6266e-05   | 416        | 0.1946
66    | 1.5198e-03   | 6.7222e-06   | 2.0310e-03   | 1.4049e-05   | 416        | 0.2603
67    | 1.3909e-03   | 6.1472e-06   | 2.0166e-03   | 1.3949e-05   | 416        | 0.1499
68    | 1.2845e-03   | 5.6729e-06   | 1.9936e-03   | 1.3790e-05   | 416        | 0.1671
69    | 1.2053e-03   | 5.3194e-06   | 1.7469e-03   | 1.2084e-05   | 415        | 0.1668
70    | 1.1422e-03   | 5.0379e-06   | 1.3564e-03   | 9.3829e-06   | 413        | 0.1696
71    | 1.0711e-03   | 4.7216e-06   | 1.0434e-03   | 7.2178e-06   | 412        | 0.2171
72    | 9.8152e-04   | 4.3242e-06   | 9.2986e-04   | 6.4325e-06   | 411        | 0.1730
73    | 8.8406e-04   | 3.8929e-06   | 9.3702e-04   | 6.4820e-06   | 411        | 0.2224
74    | 7.9429e-04   | 3.4961e-06   | 8.8242e-04   | 6.1042e-06   | 412        | 0.1940
75    | 7.1419e-04   | 3.1422e-06   | 8.1605e-04   | 5.6451e-06   | 413        | 0.1724
76    | 6.3403e-04   | 2.7885e-06   | 8.1190e-04   | 5.6164e-06   | 414        | 0.1645
