=========================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (HIGH DIFFICULTY) 
=========================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.3
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-08
Grid Info:
  dt = 0.010000, dx = 0.005000
---------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)
55    | 2.5849e-02   | 1.1431e-04   | 1.2382e-01   | 7.2790e-04   | 417        | 0.1035
56    | 2.5325e-02   | 1.1185e-04   | 1.2165e-01   | 7.1693e-04   | 409        | 0.1012
57    | 2.2294e-02   | 9.8420e-05   | 1.2014e-01   | 7.0666e-04   | 417        | 0.1027
58    | 2.1792e-02   | 9.6024e-05   | 1.1597e-01   | 6.8384e-04   | 406        | 0.0999
59    | 2.0162e-02   | 8.8918e-05   | 1.1393e-01   | 6.7071e-04   | 415        | 0.1026
60    | 1.9314e-02   | 8.5124e-05   | 1.0118e-01   | 5.9615e-04   | 406        | 0.1009
61    | 1.7118e-02   | 7.5420e-05   | 9.7914e-02   | 5.7700e-04   | 415        | 0.1023
62    | 1.7144e-02   | 7.5394e-05   | 9.8912e-02   | 5.8287e-04   | 405        | 0.1003
63    | 1.7832e-02   | 7.8504e-05   | 1.0620e-01   | 6.2591e-04   | 413        | 0.1020
64    | 2.0580e-02   | 9.0560e-05   | 9.8668e-02   | 5.8129e-04   | 402        | 0.0996
65    | 2.1071e-02   | 9.2897e-05   | 8.4232e-02   | 4.9693e-04   | 409        | 0.1011
66    | 1.8672e-02   | 8.2252e-05   | 8.7772e-02   | 5.1669e-04   | 410        | 0.1014
67    | 2.2901e-02   | 1.0083e-04   | 1.1747e-01   | 6.9281e-04   | 404        | 0.1008
68    | 2.9411e-02   | 1.2959e-04   | 1.1587e-01   | 6.8121e-04   | 411        | 0.1013
69    | 2.9871e-02   | 1.3200e-04   | 1.2816e-01   | 7.5548e-04   | 398        | 0.0982
70    | 3.2962e-02   | 1.4568e-04   | 1.3142e-01   | 7.7153e-04   | 414        | 0.1026
71    | 3.0230e-02   | 1.3385e-04   | 1.3564e-01   | 7.9934e-04   | 398        | 0.0986
72    | 3.5026e-02   | 1.5567e-04   | 1.3662e-01   | 8.0168e-04   | 415        | 0.1022
73    | 3.4167e-02   | 1.5201e-04   | 1.3964e-01   | 8.2203e-04   | 397        | 0.0987
74    | 3.5688e-02   | 1.5879e-04   | 1.4029e-01   | 8.2289e-04   | 417        | 0.1027
75    | 3.5070e-02   | 1.5617e-04   | 1.4674e-01   | 8.6382e-04   | 400        | 0.0992
76    | 3.6032e-02   | 1.6063e-04   | 1.3854e-01   | 8.1219e-04   | 418        | 0.1027
77    | 3.2748e-02   | 1.4596e-04   | 1.3918e-01   | 8.1931e-04   | 407        | 0.1011
78    | 3.2931e-02   | 1.4670e-04   | 1.3718e-01   | 8.0456e-04   | 418        | 0.1035
79    | 3.2844e-02   | 1.4616e-04   | 1.3568e-01   | 7.9919e-04   | 407        | 0.1011
80    | 3.1250e-02   | 1.3898e-04   | 1.3270e-01   | 7.7873e-04   | 418        | 0.1031
81    | 3.1629e-02   | 1.4047e-04   | 1.3612e-01   | 8.0187e-04   | 408        | 0.1017
82    | 3.0703e-02   | 1.3630e-04   | 1.3242e-01   | 7.7728e-04   | 417        | 0.1032
83    | 2.9663e-02   | 1.3152e-04   | 1.2806e-01   | 7.5466e-04   | 408        | 0.1009
84    | 2.7449e-02   | 1.2161e-04   | 1.2674e-01   | 7.4451e-04   | 417        | 0.1029
85    | 2.7815e-02   | 1.2305e-04   | 1.3050e-01   | 7.6921e-04   | 408        | 0.1010
86    | 2.6708e-02   | 1.1813e-04   | 1.2594e-01   | 7.4004e-04   | 416        | 0.1027
87    | 2.4839e-02   | 1.0971e-04   | 1.1808e-01   | 6.9604e-04   | 408        | 0.1007
88    | 2.1262e-02   | 9.3866e-05   | 1.1614e-01   | 6.8322e-04   | 415        | 0.1026
89    | 2.1615e-02   | 9.5300e-05   | 1.1421e-01   | 6.7334e-04   | 407        | 0.1008
90    | 1.9929e-02   | 8.7860e-05   | 1.1250e-01   | 6.6225e-04   | 417        | 0.1029
91    | 1.9278e-02   | 8.4843e-05   | 1.0677e-01   | 6.2940e-04   | 407        | 0.1010
92    | 1.7433e-02   | 7.6772e-05   | 1.0511e-01   | 6.1930e-04   | 413        | 0.1024
93    | 1.8111e-02   | 7.9744e-05   | 9.6387e-02   | 5.6779e-04   | 404        | 0.1001
94    | 1.8741e-02   | 8.2522e-05   | 9.6452e-02   | 5.6877e-04   | 414        | 0.1023
95    | 1.9037e-02   | 8.3781e-05   | 9.6554e-02   | 5.6847e-04   | 405        | 0.1003
