x m_star m_num
-7.000000e-01 2.620501e-01 2.632482e-01
-6.800000e-01 2.807700e-01 2.816504e-01
-6.600000e-01 3.002261e-01 3.007722e-01
-6.400000e-01 3.203889e-01 3.205862e-01
-6.200000e-01 3.412228e-01 3.410591e-01
-6.000000e-01 3.626854e-01 3.621509e-01
-5.800000e-01 3.847277e-01 3.838152e-01
-5.600000e-01 4.072942e-01 4.059993e-01
-5.400000e-01 4.303228e-01 4.286437e-01
-5.200000e-01 4.537452e-01 4.516827e-01
-5.000000e-01 4.774864e-01 4.750443e-01
-4.800000e-01 5.014659e-01 4.986504e-01
-4.600000e-01 5.255975e-01 5.224173e-01
-4.400000e-01 5.497896e-01 5.462559e-01
-4.200000e-01 5.739462e-01 5.700723e-01
-4.000000e-01 5.979671e-01 5.937683e-01
-3.800000e-01 6.217485e-01 6.172418e-01
-3.600000e-01 6.451841e-01 6.403880e-01
-3.400000e-01 6.681654e-01 6.630997e-01
-3.200000e-01 6.905827e-01 6.852680e-01
-3.000000e-01 7.123260e-01 7.067836e-01
-2.800000e-01 7.332859e-01 7.275373e-01
-2.600000e-01 7.533544e-01 7.474212e-01
-2.400000e-01 7.724256e-01 7.663293e-01
-2.200000e-01 7.903973e-01 7.841587e-01
-2.000000e-01 8.071711e-01 8.008104e-01
-1.800000e-01 8.226540e-01 8.161902e-01
-1.600000e-01 8.367587e-01 8.302097e-01
-1.400000e-01 8.494047e-01 8.427870e-01
-1.200000e-01 8.605190e-01 8.538476e-01
-1.000000e-01 8.700370e-01 8.633251e-01
-8.000000e-02 8.779026e-01 8.711619e-01
-6.000000e-02 8.840695e-01 8.773096e-01
-4.000000e-02 8.885009e-01 8.817296e-01
-2.000000e-02 8.911704e-01 8.843937e-01
0.000000e+00 8.920621e-01 8.852839e-01
2.000000e-02 8.911704e-01 8.843937e-01
4.000000e-02 8.885009e-01 8.817296e-01
6.000000e-02 8.840695e-01 8.773096e-01
8.000000e-02 8.779026e-01 8.711619e-01
1.000000e-01 8.700370e-01 8.633251e-01
1.200000e-01 8.605190e-01 8.538476e-01
1.400000e-01 8.494047e-01 8.427870e-01
1.600000e-01 8.367587e-01 8.302097e-01
1.800000e-01 8.226540e-01 8.161902e-01
2.000000e-01 8.071711e-01 8.008104e-01
2.200000e-01 7.903973e-01 7.841587e-01
2.400000e-01 7.724256e-01 7.663293e-01
2.600000e-01 7.533544e-01 7.474212e-01
2.800000e-01 7.332859e-01 7.275373e-01
3.000000e-01 7.123260e-01 7.067836e-01
3.200000e-01 6.905827e-01 6.852680e-01
3.400000e-01 6.681654e-01 6.630997e-01
