-2.000000000000000000e+00 2.676760120656559864e-04 2.676958345732734224e-04
-1.979999999999999982e+00 3.138695139865597342e-04 3.146267560637393181e-04
-1.959999999999999964e+00 3.674463563882013448e-04 3.852916104064656698e-04
-1.939999999999999947e+00 4.294809295764280815e-04 4.659389661327163062e-04
-1.919999999999999929e+00 5.011860247163859835e-04 5.579532349285974387e-04
-1.899999999999999911e+00 5.839277964603905137e-04 6.628678216884383544e-04
-1.879999999999999893e+00 6.792419106427115445e-04 7.823812637816937154e-04
-1.859999999999999876e+00 7.888509074014388297e-04 9.183741064565499688e-04
-1.840000000000000080e+00 9.146828004396014228e-04 1.072926591973649441e-03
-1.820000000000000062e+00 1.058890921612999072e-03 1.248337210086888612e-03
-1.800000000000000044e+00 1.223875006501768227e-03 1.447142132930501462e-03
-1.780000000000000027e+00 1.412303500971279820e-03 1.672135535477157348e-03
-1.760000000000000009e+00 1.627137050857892188e-03 1.926390781899733591e-03
-1.739999999999999991e+00 1.871653116751652648e-03 2.213282437423454239e-03
-1.719999999999999973e+00 2.149471633343893410e-03 2.536509043980685572e-03
-1.699999999999999956e+00 2.464581607948386054e-03 2.900116575787902058e-03
-1.679999999999999938e+00 2.821368525614151909e-03 3.308522467612841182e-03
-1.659999999999999920e+00 3.224642398793314563e-03 3.766540083857276237e-03
-1.640000000000000124e+00 3.679666267924899987e-03 4.279403470598814457e-03
-1.620000000000000107e+00 4.192184925715262966e-03 4.852792205436017026e-03
-1.600000000000000089e+00 4.768453602566761866e-03 5.492856131450665411e-03
-1.580000000000000071e+00 5.415266313820396929e-03 6.206239731984464908e-03
-1.560000000000000053e+00 6.139983531593406346e-03 7.000105872427766704e-03
-1.540000000000000036e+00 6.950558805437304435e-03 7.882158604095280963e-03
-1.520000000000000018e+00 7.855563917313701863e-03 8.860664693835416938e-03
-1.500000000000000000e+00 8.864212118054574582e-03 9.944473511659744636e-03
-1.479999999999999982e+00 9.986378955180532507e-03 1.114303487781760985e-02
-1.459999999999999964e+00 1.123262016640364999e-02 1.246641444086362023e-02
-1.439999999999999947e+00 1.261418608011204666e-02 1.392530612991203960e-02
-1.419999999999999929e+00 1.414303193445174897e-02 1.553104119803116155e-02
-1.399999999999999911e+00 1.583182350116598552e-02 1.729559335023942920e-02
-1.379999999999999893e+00 1.769393738004244529e-02 1.923157942950036794e-02
-1.359999999999999876e+00 1.974345531560059083e-02 2.135225511818773445e-02
-1.339999999999999858e+00 2.199515188048330877e-02 2.367150510144466757e-02
-1.319999999999999840e+00 2.446447487085639388e-02 2.620382713344626691e-02
-1.299999999999999822e+00 2.716751776890035872e-02 2.896430944855631420e-02
-1.280000000000000027e+00 3.012098364709569001e-02 3.196860096750035740e-02
-1.260000000000000009e+00 3.334213991928653559e-02 3.523287376469386167e-02
-1.239999999999999991e+00 3.684876338520461092e-02 3.877377728746456143e-02
-1.219999999999999973e+00 4.065907506888488676e-02 4.260838385173823517e-02
-1.199999999999999956e+00 4.479166441770966040e-02 4.675412498239435444e-02
-1.179999999999999938e+00 4.926540250803045778e-02 5.122871822043036094e-02
-1.160000000000000142e+00 5.409934399560629992e-02 5.605008408368396949e-02
-1.140000000000000124e+00 5.931261765443181927e-02 6.123625294340762082e-02
-1.120000000000000107e+00 6.492430546565325367e-02 6.680526166558167778e-02
-1.100000000000000089e+00 7.095331034869685471e-02 7.277503996344482362e-02
-1.080000000000000071e+00 7.741821276870662627e-02 7.916328651608287026e-02
-1.060000000000000053e+00 8.433711660689761913e-02 8.598733502662977979e-02
-1.040000000000000036e+00 9.172748484218604115e-02 9.326401052207006215e-02
-1.020000000000000018e+00 9.960596576189262308e-02 1.010094763339390717e-01
-1.000000000000000000e+00 1.079882105945944165e-01 1.092390723443301404e-01
